GENE	RNAseH-Rep1	RNAseH-Rep2	RNAseH-Rep3	PolyA-Rep3	RZ-Rep1	RZ-Rep2	RZ-Rep3
FBgn0038074		0.092666	0.0944006	0	0.200534	0.225482	0.28355	0.168372
FBgn0034199		4.34172	2.94866	2.97076	2.88697	2.11292	5.31411	2.89256
FBgn0053896		328.04	367.552	397.825	24.0891	500.453	394.474	228.313
FBgn0053897		259.574	321.858	314.722	6.4951e-06	386.073	304.525	329.797
FBgn0038076		3.02638	2.87749	2.38137	3.27007	2.61832	3.27974	3.6659
FBgn0053898		328.04	367.552	397.825	24.0891	500.453	394.474	228.313
FBgn0039860		38.5803	37.2167	37.1673	35.4627	26.9331	26.8211	29.179
FBgn0053899		259.574	321.858	314.722	6.4951e-06	386.073	304.525	329.797
FBgn0039861		35.9482	33.2599	35.335	35.9288	30.6254	29.4275	28.0936
FBgn0038078		0	0.180226	0	0	0.286988	0.135336	0
FBgn0039862		2.08754	1.94525	1.93998	1.64936	0.769344	0.924758	0.738604
FBgn0038079		1.2313	3.10837	1.41787	2.4361	2.37642	2.17498	1.78649
FBgn0039863		53.17	52.4085	55.1457	33.5169	15.6002	19.7116	17.1431
FBgn0025463		160.365	151.427	151.654	154.194	152.467	154.86	158.098
FBgn0039864		0	0.0867129	0	0	0.20712	0	0.07733
FBgn0030761		29.662	24.4752	25.7284	22.6635	17.397	18.7625	19.6674
FBgn0051702		0.0484682	0	0	0	0	0.037077	0
FBgn0039867		30.8657	25.8219	30.0609	29.5068	34.1833	33.3066	36.4699
FBgn0030763		0.12138	0	0.0622895	0.0432376	0	0	0.110272
FBgn0051703		3.00634e-08	0	0	0.0341458	0	4.40319e-08	0
FBgn0039868		138.078	123.996	122.186	130.198	155.757	160.659	159.069
FBgn0030764		0.845155	0.918373	1.33006	0.321129	0.502699	0.560321	0.460687
FBgn0051704		0	0	0	0	0.488559	0	1.09445
FBgn0039869		175.517	163.261	175.818	210.443	179.483	181.171	175.955
FBgn0025469		23.0039	20.0867	18.1292	22.7101	21.3237	19.9856	20.3762
FBgn0030766		35.396	35.9364	34.3243	11.4979	16.3835	18.5057	17.1991
FBgn0051706		0	0	0.240028	0	0.0416579	0	0
FBgn0030768		43.3664	42.3252	43.7723	45.7637	47.4812	45.3675	47.4426
FBgn0051708		0	0.0244411	0	0	0	0	0
FBgn0030769		1.51122	2.09933	3.06873	1.76178	2.45148	2.4172	2.37141
FBgn0051709		0	0	0	0	0	0	0
FBgn0034650		71.7115	77.2324	78.6823	79.6575	63.2125	67.7335	68.7469
FBgn0034651		0.494848	0.236479	1.18507	0.275633	0.401368	0.378548	0.21089
FBgn0020251		12.5847	14.9709	13.3248	11.9637	13.451	13.8255	13.9889
FBgn0052570		0.450608	1.37365	0.554552	1.7527	0.584442	0.555496	1.31082
FBgn0034654		267.968	232.322	233.142	252.016	264.09	254.478	277.67
FBgn0052571		0.0627729	0.703427	0.386563	0.223607	0.305488	0.144059	0.171085
FBgn0038530		0	0	0.138661	0.28875	0	0	0
